Date,Total_count,Msp_sum,Pref_1,Pref_2,Pref_3,Pref_4,Pref_5,Pref_6,Pref_7,Pref_8,Pref_9,Pref_10,Pref_11,Pref_12,Pref_13,Pref_14,Pref_15,Pref_16,Pref_17,Pref_18,Pref_19,Pref_20,Pref_21,Pref_22,Pref_23,Pref_24,Pref_25,Pref_26,Pref_27,Pref_28,Pref_29,Pref_30,Pref_31,Pref_32,Msp_1,Msp_2,Msp_3,Msp_4,Msp_5,Msp_6,Msp_7,Msp_8,Msp_9,Msp_10,Msp_11,Msp_12,Msp_13,Msp_14,Msp_15,Msp_16,Msp_17,Msp_18,Msp_19,Msp_20,Msp_21,Msp_22,Msp_23,Msp_24,Msp_25,Msp_26,Msp_27,Msp_28,Msp_29,Msp_30,Msp_31,Msp_32,Per_8
2013-11-02,476253,46860,0,0,0,0,0,0,0,16,11,31,92,254,474,929,1645,12863,6887,11405,23331,33115,35968,50528,44266,252243,752,124,143,127,127,195,12,714,0,0,0,0,0,0,0,15,9,21,65,148,268,540,779,4400,2591,4103,6389,7928,6850,7160,5377,201,6,4,3,2,0,1,0,0,158.17048752307892
2013-11-03,476360,46940,0,0,0,0,0,0,0,16,11,31,92,254,474,929,1645,12864,6886,11403,23364,33137,35982,50734,44338,252211,751,121,143,127,128,209,12,497,0,0,0,0,0,0,0,15,9,21,65,148,268,540,781,4400,2591,4106,6395,7960,6865,7171,5398,191,6,4,3,2,0,1,0,0,158.16143906116486
2013-11-04,476388,46920,0,0,0,0,0,0,0,16,11,31,92,254,474,929,1645,12867,6886,11412,23381,33137,35989,50475,44363,252414,751,123,144,127,128,209,12,517,0,0,0,0,0,0,0,15,9,21,65,148,268,540,782,4400,2592,4116,6398,7954,6851,7150,5398,197,6,4,3,2,0,1,0,0,158.1603251695633
2013-11-05,475909,46898,0,0,0,0,0,0,0,16,11,31,92,254,473,929,1643,12861,6900,11406,23374,33115,35982,50346,44298,252162,751,124,144,127,128,209,12,520,0,0,0,0,0,0,0,15,9,21,65,148,267,540,779,4398,2595,4110,6399,7932,6839,7163,5407,195,6,4,3,2,0,1,0,0,158.16624557971954
2013-11-06,475949,46897,0,0,0,0,0,0,0,17,11,31,92,254,473,929,1646,12857,6905,11414,23399,33181,35993,50254,44245,252186,751,124,145,126,128,209,12,566,0,0,0,0,0,0,0,16,9,21,65,148,267,540,782,4396,2596,4113,6412,7928,6841,7154,5382,211,6,4,3,2,0,1,0,0,158.20550644397736
2013-11-07,476134,46881,0,0,0,0,0,0,0,16,11,31,92,254,474,931,1646,12857,6907,11411,23402,33165,36004,50250,44248,252351,752,125,144,125,132,223,13,569,0,0,0,0,0,0,0,15,9,21,65,149,267,540,779,4395,2598,4115,6392,7922,6835,7162,5390,211,6,4,3,2,0,1,0,0,158.19459640979767
2013-11-08,476553,46923,0,0,0,0,0,0,0,16,11,31,92,254,474,931,1645,12862,6911,11427,23472,33189,36027,50212,44345,252654,751,125,145,126,131,223,13,485,0,0,0,0,0,0,0,15,9,21,65,149,267,543,779,4396,2598,4119,6399,7927,6861,7170,5400,189,6,4,3,2,0,1,0,0,158.21328842639923
2013-11-09,476635,46906,0,0,0,0,0,0,0,16,11,31,92,254,474,931,1645,12863,6910,11429,23513,33188,36011,50300,44323,252624,750,125,145,128,132,225,13,501,0,0,0,0,0,0,0,15,9,21,65,149,267,543,780,4396,2594,4119,6402,7925,6856,7173,5383,193,6,4,3,2,0,1,0,0,158.22679245471954
2013-11-10,476754,46917,0,0,0,0,0,0,0,16,11,31,92,254,475,931,1645,12869,6911,11434,23501,33184,36010,50324,44355,252689,749,125,145,129,132,225,13,503,0,0,0,0,0,0,0,15,9,21,65,149,268,543,780,4402,2598,4123,6414,7925,6847,7179,5369,194,6,4,3,2,0,1,0,0,158.22154343128204
2013-11-11,476901,46940,0,0,0,0,0,0,0,16,11,31,92,254,474,930,1644,12859,6909,11435,23488,33200,36043,50319,44356,252811,748,125,144,128,134,225,12,512,0,0,0,0,0,0,0,15,9,21,65,149,267,543,779,4393,2597,4122,6415,7927,6861,7191,5371,200,5,4,3,2,0,1,0,0,158.2203379869461
2013-11-12,476974,46896,0,0,0,0,0,0,0,16,11,31,92,253,474,931,1644,12854,6913,11440,23488,33192,36018,50320,44370,252919,748,125,144,128,135,225,12,490,0,0,0,0,0,0,0,15,9,21,65,148,266,543,779,4399,2597,4124,6409,7915,6845,7189,5362,195,5,4,3,2,0,1,0,0,158.2408457994461
2013-11-13,477236,46854,0,0,0,0,0,0,0,16,11,31,92,253,474,930,1642,12852,6882,11427,23436,33217,35978,50353,44416,253177,748,123,144,130,137,239,13,514,0,0,0,0,0,0,0,15,9,21,65,149,266,540,775,4384,2582,4113,6395,7925,6841,7185,5372,200,5,4,3,4,0,1,0,0,158.24594223499298
2013-11-14,479241,46928,0,0,0,0,0,0,0,16,11,31,92,253,474,930,1643,12845,6889,11411,23466,33251,36220,50644,45011,253991,749,123,145,131,139,239,13,523,0,0,0,0,0,0,0,15,9,21,65,149,266,541,777,4444,2579,4090,6400,7935,6853,7191,5376,200,5,4,3,4,0,1,0,0,158.23561203479767
2013-11-15,479358,46946,0,0,0,0,0,0,0,16,11,31,92,253,474,930,1641,12843,6892,11415,23456,33277,36239,50502,45044,254125,751,124,145,135,142,263,14,542,0,0,0,0,0,0,0,15,9,21,65,149,266,540,776,4439,2584,4086,6398,7950,6843,7189,5386,213,5,4,3,4,0,1,0,0,158.2270051240921
2013-11-16,478014,46960,0,0,0,0,0,0,0,16,11,31,92,254,474,930,1645,12849,6908,11417,23470,33292,36075,50445,44403,253566,748,124,145,135,142,265,14,562,0,0,0,0,0,0,0,15,9,21,65,150,266,541,779,4390,2591,4095,6408,7963,6864,7179,5388,219,5,4,3,4,0,1,0,0,158.2534943819046
2013-11-17,477921,46929,0,0,0,0,0,0,0,16,11,31,92,254,474,930,1645,12848,6908,11418,23466,33287,36048,50423,44347,253589,747,123,145,136,142,265,14,561,0,0,0,0,0,0,0,15,9,21,65,150,266,541,779,4389,2591,4091,6397,7952,6864,7173,5387,222,5,4,3,4,0,1,0,0,158.24725353717804
2013-11-18,478423,46969,0,0,0,0,0,0,0,16,11,31,92,254,474,930,1645,12845,6909,11419,23468,33291,36053,50441,44397,253733,752,124,145,135,141,264,14,838,0,0,0,0,0,0,0,15,9,21,65,150,266,541,779,4391,2591,4093,6407,7959,6860,7173,5406,226,5,4,3,4,0,1,0,0,158.24282705783844
2013-11-19,478460,47023,0,0,0,0,0,0,0,16,11,31,92,254,474,930,1643,12853,6911,11426,23468,33248,36068,50469,44448,253951,748,124,153,137,142,265,13,584,0,0,0,0,0,0,0,15,9,21,65,150,266,542,779,4392,2593,4102,6403,7972,6866,7202,5397,232,5,4,3,4,0,1,0,0,158.2544709444046
2013-11-20,478622,47044,0,0,0,0,0,0,0,16,11,31,94,254,475,930,1641,12858,6908,11430,23461,33245,36089,50469,44404,254191,749,124,145,137,142,267,14,536,0,0,0,0,0,0,0,15,9,21,66,150,267,542,779,4395,2591,4104,6399,7986,6871,7226,5395,211,5,4,3,4,0,1,0,0,158.48812878131866
